# pdf: NNPDF31_nlo_pch_as_0118
# Q0: 2 GeV 
# Nrep: 100
# [xmin, xmax, nx]: [10^(-3), 10^(0), 201]
# 	 x 	 gluon(cv) 	 gluon(sd) 
   0.251189 	   0.417102 	   0.037294 
   0.260016 	   0.391002 	   0.038374 
   0.269153 	   0.365256 	   0.037585 
   0.278612 	   0.340022 	   0.036472 
   0.288403 	   0.316137 	   0.034584 
   0.298538 	   0.293638 	   0.031895 
   0.309030 	   0.272147 	   0.029322 
   0.319890 	   0.251457 	   0.026933 
   0.331131 	   0.232154 	   0.025281 
   0.342768 	   0.213366 	   0.024029 
   0.354813 	   0.196802 	   0.025288 
   0.367282 	   0.182148 	   0.025919 
   0.380189 	   0.167840 	   0.023327 
   0.393550 	   0.155551 	   0.022934 
   0.407380 	   0.141933 	   0.020594 
   0.421697 	   0.129215 	   0.020132 
   0.436516 	   0.118769 	   0.021632 
   0.451856 	   0.110439 	   0.024953 
   0.467735 	   0.100153 	   0.024569 
   0.484172 	   0.088503 	   0.021657 
   0.501187 	   0.078124 	   0.018791 
   0.518800 	   0.069532 	   0.017799 
   0.537032 	   0.060917 	   0.017586 
   0.555904 	   0.051460 	   0.016399 
   0.575440 	   0.043961 	   0.017376 
   0.595662 	   0.036246 	   0.015891 
   0.616595 	   0.028386 	   0.013647 
   0.638263 	   0.020862 	   0.012631 
   0.660693 	   0.014983 	   0.012284 
   0.683912 	   0.010088 	   0.012041 
   0.707946 	   0.006026 	   0.010962 
   0.732825 	   0.002791 	   0.009999 
   0.758578 	   0.000146 	   0.009828 
   0.785236 	  -0.001883 	   0.010739 
   0.812831 	  -0.002863 	   0.010357 
   0.841395 	  -0.003095 	   0.009462 
   0.870964 	  -0.003022 	   0.008674 
   0.901571 	  -0.002454 	   0.007039 
   0.933254 	  -0.001643 	   0.005051 
   0.966051 	  -0.000712 	   0.002974 
 
